SSC_NAME_2011,POA_CODE_2011
Lorne (NSW),2439
South Kempsey,2440
West Kempsey,2440
Frederickton,2440
Aldavilla,2440
Euroka,2440
Dondingalong,2440
Greenhill (NSW),2440
East Kempsey,2440
Verges Creek,2440
Yarravel,2440
Kempsey,2440
Burnt Bridge,2440
Hat Head,2440
Kinchela,2440
Smithtown,2440
Mooneba,2440
Willawarrin,2440
Temagog,2440
Hickeys Creek,2440
Gladstone (NSW),2440
Belmore River,2440
Crescent Head,2440
Clybucca,2440
Collombatti,2440
Sherwood (Kempsey - NSW),2440
Wittitrin,2440
Bellbrook,2440
Bonville,2441
Stuarts Point,2441
Yarrahapinni,2441
Fishermans Reach,2441
Kundabung,2441
Eungai Creek,2441
Eungai Rail,2441
Allgomera,2441
Telegraph Point,2441
Cooperabung,2441
Upper Rollands Plains,2441
North Haven (NSW),2443
West Haven,2443
Laurieton,2443
Herons Creek,2443
Lakewood (NSW),2443
Dunbogan,2443
North Brother,2443
Jolly Nose,2443
Camden Head,2443
Crowdy Bay National Park,2443
Moorland (NSW),2443
Johns River,2443
Hannam Vale,2443
Coralville,2443
Port Macquarie,2444
Fernbank Creek,2444
Thrumster,2444
North Shore (NSW),2444
Riverside (NSW),2444
Blackmans Point,2444
Lake Cathie,2445
Bonny Hills,2445
Grants Beach,2445
Pembrooke,2446
Frazers Creek,2446
Bellangry,2446
Lower Pappinbarra,2446
Kindee,2446
Long Flat (NSW),2446
Byabarra,2446
Ellenborough,2446
Wauchope,2446
Rosewood (Port Macquarie-Hastings - NSW),2446
Beechwood,2446
Redbank (NSW),2446
Lake Innes,2446
Crosslands,2446
King Creek,2446
Sancrox,2446
Macksville,2447
North Macksville,2447
Way Way,2447
Scotts Head,2447
Gumma,2447
Newee Creek,2447
Congarinni North,2447
Congarinni,2447
Warrell Creek,2447
Yarranbella,2447
Taylors Arm,2447
Nambucca Heads,2448
Hyland Park,2448
Valla Beach,2448
Valla,2448
Bowraville,2449
South Arm (Nambucca - NSW),2449
Argents Hill,2449
Missabotti,2449
Tewinga,2449
Glenreagh,2450
Coffs Harbour,2450
North Boambee Valley,2450
Coramba,2450
Nana Glen,2450
Upper Orara,2450
Bucca (NSW),2450
Karangi,2450
Ulong,2450
Lowanna,2450
Unclassified (NSW),2450
Sapphire Beach,2450
Korora,2450
Moonee Beach,2450
Boambee,2450
Boambee East,2452
Toormina,2452
Sawtell,2452
Megan,2453
Dorrigo,2453
Deer Vale,2453
Hernani,2453
Dundurrabin,2453
North Dorrigo,2453
Bellingen,2454
Brierfield,2454
Fernmount,2454
Darkwood,2454
Thora,2454
Gleniffer,2454
Kalang,2454
Bundagen,2454
Mylestom,2454
Repton,2454
Raleigh,2454
Urunga,2455
Emerald Beach,2456
Woolgoolga,2456
Safety Beach (NSW),2456
Sandy Beach,2456
Upper Corindi,2456
Corindi Beach,2456
Red Rock,2456
Arrawarra,2456
Arrawarra Headland,2456
Mullaway,2456
Grafton,2460
Southampton (NSW),2460
South Grafton,2460
Junction Hill,2460
Carrs Creek,2460
Alumy Creek,2460
Cangai,2460
Ramornie,2460
Nymboida,2460
Kangaroo Creek,2460
Wells Crossing,2460
Halfway Creek,2460
Unclassified (NSW),2460
Copmanhurst,2460
The Whiteman,2460
Waterview Heights,2460
Lawrence (NSW),2460
Gurranang,2460
The Pinnacles,2460
Eatonsville,2460
Seelands,2460
Mountain View (NSW),2460
Southgate,2460
Brushgrove,2460
Elland,2460
Coutts Crossing,2460
Lanitza,2460
Braunstone,2460
Glenugie,2460
Clarenza,2460
Tyndale,2460
Barcoongere,2460
Tucabia,2462
Ulmarra,2462
Pillar Valley,2462
Calliope (NSW),2462
Wooli,2462
Minnie Water,2462
Ashby Heights,2463
Ashby (NSW),2463
Woodford Island,2463
Ilarwill,2463
Gulmarrad,2463
Brooms Head,2463
Maclean,2463
Townsend,2463
James Creek,2463
Palmers Island,2463
Yamba (NSW),2464
Angourie,2464
Yuraygir,2464
Freeburn Island,2464
Wooloweyah,2464
Harwood,2465
Iluka (NSW),2466
Ewingar,2469
Woombah,2469
Warregah Island,2469
Chatsworth (NSW),2469
Tabulam,2469
Drake,2469
Bonalbo,2469
Old Bonalbo,2469
Mallanganee,2469
Mummulgum,2469
Rappville,2469
Myrtle Creek (NSW),2469
Casino,2470
North Casino,2470
Fairy Hill,2470
Lower Dyraaba,2470
Backmede,2470
Stratheden,2470
Woodview,2470
Spring Grove,2470
Yorklea,2470
Ellangowan (NSW),2470
Shannon Brook,2470
Hogarth Range,2470
Doubtful Creek,2470
Swan Bay (Richmond Valley - NSW),2471
Coraki,2471
Tatham,2471
Bora Ridge,2471
East Coraki,2471
Woodburn (Richmond Valley - NSW),2472
Broadwater (Richmond Valley - NSW),2472
Rileys Hill,2472
New Italy,2472
Evans Head,2473
Doonbah,2473
Roseberry Creek,2474
Eden Creek,2474
Wiangaree,2474
Ettrick (NSW),2474
Kyogle,2474
Horse Station Creek,2474
Barkers Vale,2474
Fawcetts Plain,2474
Homeleigh,2474
Cawongla,2474
Geneva,2474
Old Grevillia,2474
Lynchs Creek,2474
Green Pigeon,2474
Urbenville,2475
Legume,2476
Muli Muli,2476
Woodenbong,2476
Alstonville,2477
Wollongbar,2477
Cabbage Tree Island (Ballina - NSW),2477
Meerschaum Vale,2477
Dalwood (Ballina - NSW),2477
Rous,2477
Tuckombil,2477
Alstonvale,2477
Wardell,2477
Uralba,2477
Lynwood (NSW),2477
Rous Mill,2477
Ballina,2478
West Ballina,2478
East Ballina,2478
Empire Vale,2478
Pimlico (NSW),2478
Keith Hall,2478
Cumbalum,2478
Tintenbar,2478
Teven,2478
Lennox Head,2478
Skennars Head,2478
Fernleigh,2479
Brooklet,2479
Knockrow,2479
Newrybar,2479
Coorabell,2479
Possum Creek,2479
Bangalow,2479
Coopers Shoot,2479
Nashua,2479
Binna Burra (NSW),2479
Eureka (NSW),2480
Federal (NSW),2480
Bentley (NSW),2480
Greenridge,2480
Goonellabah,2480
Chilcotts Grass,2480
Lillian Rock,2480
East Lismore,2480
Lismore Heights,2480
Lismore (NSW),2480
South Lismore,2480
Girards Hill,2480
Lagoon Grass,2480
Monaltrie,2480
North Lismore,2480
Loftville,2480
Modanville,2480
Clunes (NSW),2480
Terania Creek,2480
The Channon,2480
Koonorigan,2480
Rosebank,2480
Corndale (NSW),2480
Tregeagle,2480
Wyrallah,2480
South Gundurimba,2480
Caniaba,2480
Booerie Creek,2480
Keerrong,2480
Tullera,2480
Bexhill,2480
Richmond Hill (NSW),2480
McLeans Ridges,2480
Eltham (NSW),2480
Lindendale,2480
Whian Whian,2480
Nimbin,2480
Stony Chute,2480
Blue Knob,2480
Coffee Camp,2480
Tucki Tucki,2480
Larnook,2480
Georgica,2480
Jiggi,2480
Rock Valley,2480
Leycester,2480
Dunoon,2480
Numulgi,2480
Ewingsdale,2481
Skinners Shoot,2481
Tyagarah,2481
Byron Bay,2481
Suffolk Park,2481
Broken Head,2481
Myocum,2481
Main Arm,2482
Upper Main Arm,2482
Mullumbimby,2482
Mullumbimby Creek,2482
Wilsons Creek,2482
Goonengerry,2482
Huonbrook,2482
Brunswick Heads,2483
Ocean Shores,2483
New Brighton,2483
South Golden Beach,2483
Wooyung,2483
Billinudgel,2483
The Pocket,2483
Mooball,2483
Crabbes Creek,2483
Upper Burringbar,2483
Burringbar,2483
Murwillumbah,2484
South Murwillumbah,2484
Bray Park (NSW),2484
Smiths Creek (Tweed - NSW),2484
Rowlands Creek,2484
Mount Burrell,2484
Byrrill Creek,2484
Pumpenbil,2484
Limpinwood,2484
Tyalgum,2484
Byangum,2484
Eungella (NSW),2484
Crystal Creek (NSW),2484
Chillingham,2484
Stokers Siding,2484
Hopkins Creek,2484
Upper Crystal Creek,2484
Nobbys Creek,2484
Dungay,2484
Dunbible,2484
Fernvale (NSW),2484
Kielvale,2484
Reserve Creek,2484
Dulguigan,2484
Eviron,2484
Condong,2484
Clothiers Creek,2484
Nunderi,2484
Uki,2484
Cudgera Creek,2484
Round Mountain,2484
Tweed Heads,2485
Tweed Heads West,2485
Piggabeen,2486
Bilambil Heights,2486
Cobaki,2486
Bilambil,2486
Carool,2486
Banora Point,2486
Terranora,2486
Tweed Heads South,2486
Fingal Head,2487
Casuarina (NSW),2487
Kingscliff,2487
Cudgen,2487
Chinderah,2487
Duranbah,2487
Bogangar,2488
Pottsville,2489
Hastings Point,2489
Tumbulgum,2490
North Tumbulgum,2490
Gwynneville,2500
West Wollongong,2500
Keiraville,2500
Mount Keira,2500
Wollongong,2500
Mangerton,2500
Coniston,2500
North Wollongong,2500
Mount Saint Thomas,2500
Warrawong,2502
Lake Heights,2502
Primbee,2502
Cringila,2502
Port Kembla,2505
Coniston,2505
Berkeley,2506
Cringila,2506
Helensburgh,2508
Otford,2508
Stanwell Park,2508
Darkes Forest,2508
Lilyvale (NSW),2508
Stanwell Tops,2508
Coalcliff,2508
Thirroul,2515
Austinmer,2515
Coledale,2515
Wombarra,2515
Scarborough (NSW),2515
Bulli,2516
Woonona,2517
Russell Vale,2517
Tarrawanna,2518
Towradgi,2518
Corrimal,2518
East Corrimal,2518
Bellambi,2518
Fairy Meadow,2519
Balgownie,2519
Mount Ousley,2519
Mount Pleasant (NSW),2519
North Wollongong,2519
Fernhill,2519
Figtree,2525
Kembla Grange,2526
Kembla Heights,2526
Cordeaux Heights,2526
Farmborough Heights,2526
Unanderra,2526
Mount Kembla,2526
Albion Park,2527
Calderwood,2527
Yellow Rock (Shellharbour - NSW),2527
Tullimbar,2527
Albion Park Rail,2527
Windang,2528
Barrack Point,2528
Warilla,2528
Lake Illawarra,2528
Barrack Heights,2528
Mount Warrigal,2528
Flinders (NSW),2529
Shellharbour,2529
Shell Cove,2529
Dunmore (NSW),2529
Oak Flats,2529
Blackbutt (NSW),2529
Shellharbour City Centre,2529
Dapto,2530
Koonawarra,2530
Penrose (Wollongong - NSW),2530
Marshall Mount,2530
Haywards Bay,2530
Kanahooka,2530
Brownsville,2530
Horsley,2530
Wongawilli,2530
Kiama,2533
Kiama Heights,2533
Bombo,2533
Kiama Downs,2533
Minnamurra,2533
Jamberoo,2533
Curramore (NSW),2533
Jerrara,2533
Gerringong,2534
Werri Beach,2534
Gerroa,2534
Foxground,2534
Berry,2535
Broughton Vale,2535
Bellawongarah,2535
Far Meadow,2535
Coolangatta (NSW),2535
Jaspers Brush,2535
Shoalhaven Heads,2535
Catalina,2536
Batemans Bay,2536
Long Beach,2536
North Batemans Bay,2536
Surfside,2536
Maloneys Beach,2536
Lilli Pilli (Eurobodalla - NSW),2536
Malua Bay,2536
Surf Beach (NSW),2536
Denhams Beach,2536
Sunshine Bay,2536
Rosedale (NSW),2536
Batehaven,2536
Unclassified (NSW),2536
Durras North,2536
Deua River Valley,2536
Mogo (Eurobodalla - NSW),2536
Jeremadra,2536
Nelligen,2536
South Durras,2536
Broulee,2537
Tomakin,2537
Mossy Point,2537
Mogendoura,2537
Turlinjah,2537
Tuross Head,2537
Moruya,2537
Moruya Heads,2537
Bergalia,2537
Congo,2537
Bingie,2537
Milton (NSW),2538
Little Forest,2538
Morton,2538
Mogood,2538
Woodstock (Shoalhaven - NSW),2538
Ulladulla,2539
Kings Point,2539
Burrill Lake,2539
Dolphin Point,2539
Mollymook Beach,2539
Narrawallee,2539
Mollymook,2539
Cunjurong Point,2539
Manyana,2539
Bendalong,2539
Fishermans Paradise,2539
Lake Tabourie,2539
Conjola Park,2539
Lake Conjola,2539
Yatte Yattah,2539
Bawley Point,2539
Kioloa,2539
Termeil,2539
Comberton,2540
Callala Beach,2540
Callala Bay,2540
Currarong,2540
Beecroft Peninsula,2540
Myola (NSW),2540
Orient Point,2540
Culburra Beach,2540
Greenwell Point,2540
Pyree,2540
Huskisson,2540
Vincentia,2540
Hyams Beach,2540
Cambewarra,2540
Meroo Meadow,2540
Cambewarra Village,2540
Tapitallee,2540
Worrigee,2540
Nowra Hill,2540
Mundamia,2540
Terara,2540
St Georges Basin,2540
Worrowing Heights,2540
Basin View,2540
Sanctuary Point,2540
Erowal Bay,2540
Bream Beach,2540
Old Erowal Bay,2540
Sussex Inlet,2540
Berrara,2540
Cudmirrah,2540
Falls Creek (NSW),2540
Tomerong,2540
Wandandian,2540
Woollamia,2540
Parma,2540
Mondayong,2540
Jervis Bay (OT),2540
Bomaderry,2541
Bangalee (NSW),2541
North Nowra,2541
Nowra,2541
South Nowra,2541
West Nowra,2541
Nerrigundah,2545
Bodalla,2545
Potato Point,2545
Eurobodalla,2545
Dignams Creek,2546
Bermagui,2546
Narooma,2546
Dalmeny,2546
Wallaga Lake,2546
Central Tilba,2546
Kianga (NSW),2546
Akolele,2546
Mystery Bay,2546
North Narooma,2546
Merimbula,2548
Tura Beach,2548
Berrambool,2548
Lochiel (NSW),2549
Nethercote,2549
Greigs Flat,2549
Pambula Beach,2549
South Pambula,2549
Pambula,2549
Bald Hills (NSW),2549
Millingandi,2549
Bega,2550
Tathra,2550
Kalaru,2550
Jellat Jellat,2550
Wallagoot,2550
Tarraganda,2550
Mogareeka,2550
Kanoona,2550
Wolumla,2550
Wyndham (NSW),2550
Towamba,2550
Burragate,2550
Candelo,2550
Tantawangalo,2550
Quaama,2550
Cobargo,2550
Wandella (NSW),2550
Angledale,2550
Verona,2550
Tanja,2550
Brogo,2550
Bournda,2550
Bemboka,2550
Coopers Gully,2550
Numbugga,2550
Buckajo,2550
Coolagolite,2550
Kiah,2551
Nungatta,2551
Eden,2551
Boydtown,2551
Badgerys Creek,2555
Bringelly,2556
Rossmore (NSW),2557
Catherine Field,2557
Eagle Vale,2558
Eschol Park,2558
Kearns,2558
Blairmount,2559
Claymore,2559
Gregory Hills,2559
Airds,2560
Bradbury (NSW),2560
St Helens Park,2560
Wedderburn (NSW),2560
Woodbine (NSW),2560
Campbelltown (NSW),2560
Leumeah,2560
Blair Athol (NSW),2560
Ruse,2560
Kentlyn,2560
Rosemeadow,2560
Ambarvale,2560
Gilead,2560
Glen Alpine,2560
Englorie Park,2560
Appin (NSW),2560
Menangle Park,2563
Macquarie Fields,2564
Long Point (Campbelltown - NSW),2564
Ingleburn,2565
Macquarie Links,2565
Denham Court,2565
Raby,2566
Varroville,2566
Minto Heights,2566
St Andrews (NSW),2566
Bow Bowing,2566
Minto,2566
Harrington Park,2567
Narellan,2567
Mount Annan,2567
Currans Hill,2567
Smeaton Grange,2567
Narellan Vale,2567
Menangle,2568
Douglas Park,2569
Ellis Lane,2570
Grasmere,2570
Camden,2570
Camden Park (NSW),2570
Cawdor (NSW),2570
Camden South,2570
Elderslie (Camden - NSW),2570
Kirkham,2570
Spring Farm (NSW),2570
The Oaks,2570
Werombi,2570
Orangeville,2570
Belimbla Park,2570
Mount Hunter,2570
Brownlow Hill,2570
Theresa Park,2570
Oakdale (NSW),2570
Oran Park,2570
Cobbitty,2570
Balmoral (Wingecarribee - NSW),2571
Razorback,2571
Wilton (NSW),2571
Picton (NSW),2571
Buxton (NSW),2571
Couridjah,2571
Thirlmere,2572
Lakesland,2572
Tahmoor,2573
Maddens Plains,2574
Bargo,2574
Yanderra,2574
Pheasants Nest,2574
Hill Top (Wingecarribee - NSW),2575
Colo Vale,2575
Yerrinbool,2575
Mittagong,2575
Balaclava (NSW),2575
Willow Vale (Wingecarribee - NSW),2575
Welby,2575
Braemar,2575
Aylmerton,2575
High Range,2575
Woodlands (Wingecarribee - NSW),2575
Bowral,2576
East Bowral,2576
Burradoo,2576
Kangaloon,2576
Glenquarry,2576
Kangaroo Valley,2577
Barrengarry,2577
Beaumont (NSW),2577
Moss Vale,2577
Berrima,2577
New Berrima,2577
Robertson (NSW),2577
Wildes Meadow,2577
Burrawang,2577
Meryla,2577
Fitzroy Falls,2577
Medway,2577
Sutton Forest,2577
Canyonleigh,2577
Werai,2577
Paddys River (Wingecarribee - NSW),2577
Bundanoon (NSW),2578
Marulan,2579
Tallong,2579
Wingello,2579
Exeter (NSW),2579
Penrose (Wingecarribee - NSW),2579
Goulburn,2580
Run-o-Waters,2580
Myrtleville,2580
Bannister (NSW),2580
Towrang,2580
Bungonia,2580
Windellama,2580
Middle Arm,2580
Baw Baw (NSW),2580
Gundary,2580
Quialigo,2580
Parkesbourne,2580
Brisbane Grove,2580
Taralga,2580
Bannaby,2580
Wombeyan Caves,2580
Lower Boro,2580
Mount Fairy,2580
Tarago,2580
Breadalbane (NSW),2581
Collector,2581
Gunning,2581
Dalton,2581
Broadway,2581
Lade Vale,2581
Yass,2582
Murrumbateman,2582
Jeir,2582
Good Hope,2582
Bowning,2582
Bookham,2582
Wee Jasper,2582
Yass River,2582
Marchmont,2582
Crookwell,2583
Laggan,2583
Binda,2583
Bigga,2583
Tuena,2583
Grabben Gullen,2583
Binalong,2584
Galong,2585
Rye Park,2586
Boorowa,2586
Godfreys Creek,2586
Frogmore,2586
Murringo,2586
Harden,2587
Murrumburrah,2587
Wombat,2587
Kingsvale,2587
Wallendbeen,2588
Cootamundra,2590
Bethungra,2590
Young,2594
Burrangong,2594
Monteagle,2594
Memagong,2594
Bribbaree,2594
Unclassified (ACT),2600
Barton,2600
Deakin,2600
Yarralumla,2600
Parkes (ACT),2600
Acton (ACT),2601
City,2601
Ainslie,2602
Dickson,2602
Downer,2602
Hackett,2602
Lyneham,2602
O'Connor (ACT),2602
Watson,2602
Forrest (ACT),2603
Griffith (ACT),2603
Red Hill (ACT),2603
Kingston (ACT),2604
Narrabundah,2604
Curtin,2605
Garran,2605
Hughes (ACT),2605
Chifley (ACT),2606
Lyons (ACT),2606
O'Malley,2606
Phillip,2606
Farrer,2607
Isaacs,2607
Mawson,2607
Pearce,2607
Torrens,2607
Symonston,2609
Pialligo,2609
Tharwa,2611
Unclassified (ACT),2611
Chapman,2611
Duffy,2611
Fisher (ACT),2611
Holder (ACT),2611
Rivett,2611
Stirling (ACT),2611
Waramanga,2611
Weston (ACT),2611
Braddon,2612
Campbell,2612
Reid (ACT),2612
Turner,2612
Aranda,2614
Cook,2614
Hawker (ACT),2614
Macquarie,2614
Page,2614
Scullin,2614
Weetangera,2614
Charnwood,2615
Dunlop,2615
Florey,2615
Flynn (ACT),2615
Fraser,2615
Unclassified (ACT),2615
Higgins,2615
Holt,2615
Latham (ACT),2615
Macgregor (ACT),2615
Melba,2615
Spence (ACT),2615
Acton (ACT),2615
Belconnen,2617
Bruce (ACT),2617
Evatt,2617
Giralang,2617
Kaleen,2617
Lawson (ACT),2617
McKellar,2617
Nanima,2618
Springrange,2618
Wallaroo (NSW),2618
Hall,2618
Jerrabomberra,2619
Gundaroo,2620
Sutton (NSW),2620
Karabar,2620
Queanbeyan,2620
Crestwood,2620
Queanbeyan East,2620
Greenleigh,2620
The Ridgeway,2620
Carwoola,2620
Burra (Palerang - NSW),2620
Michelago,2620
Royalla,2620
Googong,2620
Wamboin,2620
Queanbeyan West,2620
Unclassified (ACT),2620
Oaks Estate,2620
Hume,2620
Bungendore,2621
Hoskinstown,2621
Primrose Valley,2621
Bywong,2621
Braidwood,2622
Majors Creek (NSW),2622
Araluen (NSW),2622
Harolds Cross,2622
Warri,2622
Nerriga,2622
Mulloon,2622
Sassafras (NSW),2622
Captains Flat,2623
Kosciuszko National Park,2625
Bredbo,2626
Kosciuszko National Park,2627
Kalkite,2627
Jindabyne,2627
Moonbah,2627
East Jindabyne,2627
Berridale,2628
Dalgety,2628
Providence Portal,2629
Adaminaby,2629
Anglers Reach,2629
Cooma (NSW),2630
Polo Flat,2630
Rock Flat,2630
Numeralla,2630
Jerangle,2630
Bunyan,2630
Binjura,2630
Shannons Flat,2630
Bibbenluke,2631
Nimmitabel,2631
Winifred,2631
Bombala,2632
Bungarby,2632
Mila,2632
Delegate,2633
Thurgoona,2640
East Albury,2640
Wirlinga,2640
Glenroy (Albury - NSW),2640
North Albury,2640
Albury,2640
South Albury,2640
West Albury,2640
Splitters Creek,2640
Table Top,2640
Bungowannah,2640
Hamilton Valley,2641
Springdale Heights,2641
Lavington,2641
Jindera,2642
Gerogery,2642
Brocklesby,2642
Burrumbuttock,2642
Walbundrie,2642
Rand,2642
Khancoban,2642
Jingellic,2642
Tooma,2642
Yerong Creek,2642
Howlong,2643
Holbrook,2644
Woomargama,2644
Little Billabong,2644
Mullengandra,2644
Urana,2645
Corowa,2646
Collendina,2646
Lowesdale,2646
Coreen,2646
Oaklands,2646
Mulwala,2647
Wentworth (NSW),2648
Curlwaa,2648
Pomona (NSW),2648
Pooncarie,2648
Ellerslie (Wentworth - NSW),2648
Nurenmerenmong,2649
Wantabadgery,2650
Lake Albert,2650
East Wagga Wagga,2650
Kooringal (NSW),2650
Tatton,2650
Estella,2650
Boorooma,2650
North Wagga Wagga,2650
Bomen,2650
Cartwrights Hill,2650
Springvale (Wagga Wagga - NSW),2650
Lloyd,2650
Bourkelands,2650
Glenfield Park,2650
Tolland,2650
Mount Austin,2650
Turvey Park,2650
San Isidore,2650
Moorong,2650
Ashmont,2650
Wagga Wagga,2650
Collingullie,2650
Brookdale (NSW),2650
Currawarna,2650
Oura,2650
Downside,2650
Gobbagombalin,2650
Borambola,2650
Big Springs,2650
Forest Hill (NSW),2651
Goolgowi,2652
Merriwagga,2652
Grong Grong,2652
Boree Creek,2652
Rosewood (Tumbarumba - NSW),2652
Humula,2652
Old Junee,2652
Gumly Gumly,2652
Ladysmith,2652
Matong,2652
Uranquinty,2652
Tarcutta,2652
Mangoplah,2652
Marrar,2652
Tumbarumba,2653
Glenroy (Tumbarumba - NSW),2653
Courabyra,2653
The Rock,2655
Lockhart (NSW),2656
Henty (NSW),2658
Pleasant Hills,2658
Walla Walla,2659
Cookardinia,2660
Culcairn,2660
Kapooka,2661
Junee,2663
Mirrool,2665
Binya,2665
Barellan,2665
Ariah Park,2665
Ardlethan,2665
Beckom,2665
Temora,2666
Narraburra,2666
Sebastopol (NSW),2666
Barmedman,2668
Tullibigeal,2669
Girral,2669
Naradhan,2669
Weethalle,2669
Tallimba,2669
Ungarie,2669
Rankins Springs,2669
West Wyalong,2671
Wyalong,2671
Lake Cargelligo,2672
Murrin Bridge,2672
Hillston,2675
Charles Sturt University,2678
Griffith (NSW),2680
Yoogali,2680
Bilbul,2680
Beelbangera,2680
Benerembah,2680
Tharbogang,2680
Hanwood,2680
Nericon,2680
Lake Wyangan,2680
Yenda (NSW),2681
Myall Park (NSW),2681
Narrandera,2700
Gillenbah,2700
Coolamon,2701
Methul,2701
Ganmain,2702
Yanco,2703
Whitton,2705
Murrami,2705
Stanbridge,2705
Leeton,2705
Corbie Hill,2705
Merungle Hill,2705
Darlington Point,2706
Coleambally,2707
Deniliquin,2710
Lindifferon,2710
Mathoura,2710
Wakool,2710
Conargo,2710
Calimo,2710
Stud Park,2710
Hay (NSW),2711
Hay South,2711
Booligal,2711
Carrathool,2711
Berrigan,2712
Boomanoomana,2712
Blighty,2713
Finley,2713
Logie Brae,2713
Tocumwal,2714
Balranald,2715
Jerilderie,2716
Coomealla,2717
Dareton,2717
Tumut,2720
Gilmore (NSW),2720
Talbingo,2720
Cabramurra,2720
Gocup,2720
Bombowlee,2720
Lacmalac,2720
Mundongo,2720
Quandialla,2721
Brungle,2722
Gundagai,2722
South Gundagai,2722
Nangus,2722
Stockinbingal,2725
Jugiong,2726
Coolac,2727
Gobarralong,2727
Wondalga,2729
Adelong,2729
Grahamstown,2729
Tumblong,2729
Batlow,2730
Moama,2731
Barham,2732
Wakool,2732
Moulamein,2733
Koraleigh,2735
Speewa (NSW),2735
Goodnight,2736
Tooleybuc,2736
Euston,2737
Gol Gol,2738
Gol Gol,2739
Buronga,2739
Glenmore Park,2745
Regentville,2745
Wallacia,2745
Luddenham,2745
Mulgoa,2745
Greendale (Liverpool - NSW),2745
Shanes Park,2747
Werrington Downs,2747
Cambridge Park,2747
Werrington County,2747
Cambridge Gardens,2747
Llandilo,2747
Kingswood (Penrith - NSW),2747
Werrington,2747
Claremont Meadows,2747
Orchard Hills,2748
Cranebrook,2749
Castlereagh,2749
Emu Plains,2750
Leonay,2750
Emu Heights (NSW),2750
Jamisontown,2750
South Penrith,2750
Penrith,2750
Silverdale (NSW),2752
Warragamba,2752
Bowen Mountain,2753
Grose Vale,2753
Grose Wold,2753
Richmond (NSW),2753
Agnes Banks,2753
Hobartville (NSW),2753
Richmond Lowlands,2753
Londonderry (NSW),2753
Yarramundi,2753
The Slopes,2754
Tennyson (NSW),2754
North Richmond,2754
Cattai,2756
South Maroota,2756
Sackville North,2756
Lower Portland,2756
Maroota,2756
Colo Heights,2756
Cumberland Reach,2756
Mountain Lagoon,2756
Freemans Reach,2756
Sackville,2756
Ebenezer (NSW),2756
Wilberforce (NSW),2756
Glossodia,2756
McGraths Hill,2756
Pitt Town,2756
Clarendon (NSW),2756
South Windsor,2756
Windsor (NSW),2756
Bligh Park,2756
Windsor Downs,2756
Kurmond,2757
Bilpin,2758
Kurrajong,2758
Kurrajong Hills,2758
Kurrajong Heights,2758
East Kurrajong,2758
Blaxlands Ridge,2758
Berambing,2758
Erskine Park,2759
St Clair (Penrith - NSW),2759
Ropes Crossing,2760
St Marys (NSW),2760
Colyton,2760
North St Marys,2760
Oxley Park,2760
Glendenning,2761
Dean Park,2761
Colebee,2761
Plumpton (NSW),2761
Oakhurst (NSW),2761
Hassall Grove,2761
Schofields,2762
Quakers Hill,2763
Acacia Gardens,2763
Vineyard,2765
Maraylya,2765
Oakville,2765
Nelson (The Hills - NSW),2765
Box Hill (NSW),2765
Riverstone,2765
Marsden Park,2765
Berkshire Park,2765
Eastern Creek,2766
Rooty Hill,2766
Woodcroft (NSW),2767
Doonside,2767
Glenwood (NSW),2768
Parklea,2768
Stanhope Gardens,2768
The Ponds,2769
Bidwill (NSW),2770
Hebersham,2770
Dharruk,2770
Blackett,2770
Emerton,2770
Shalvey,2770
Willmot,2770
Tregear,2770
Lethbridge Park,2770
Mount Druitt,2770
Whalan,2770
Minchinbury,2770
Glenbrook,2773
Lapstone,2773
Blaxland (NSW),2774
Warrimoo,2774
Mount Riverview,2774
Spencer,2775
Leets Vale,2775
Wisemans Ferry,2775
Lower Macdonald,2775
St Albans (NSW),2775
Faulconbridge,2776
Winmalee,2777
Hawkesbury Heights,2777
Yellow Rock (Blue Mountains - NSW),2777
Springwood (NSW),2777
Valley Heights,2777
Woodford (NSW),2778
Linden (NSW),2778
Hazelbrook,2779
Katoomba,2780
Leura,2780
Medlow Bath,2780
Wentworth Falls,2782
Lawson (NSW),2783
Bullaburra,2784
Blackheath (NSW),2785
Dargan,2786
Mount Victoria,2786
Oberon,2787
Edith (NSW),2787
Black Springs (NSW),2787
Porters Retreat,2787
Duckmaloi,2787
Blue Mountains National Park,2787
South Bowenfels,2790
Marrangaroo,2790
Lithgow,2790
Bowenfels,2790
Hassans Walls,2790
Oaky Park,2790
Morts Estate,2790
Hermitage Flat,2790
McKellars Park,2790
South Littleton,2790
Littleton,2790
Vale Of Clwydd,2790
Lidsdale,2790
Little Hartley,2790
Clarence,2790
Hartley (NSW),2790
Ganbenang,2790
Cullen Bullen,2790
Rydal,2790
Kanimbla (NSW),2790
Carcoar,2791
Mandurama,2792
Woodstock (Cowra - NSW),2793
Darbys Falls,2793
Cowra,2794
Wattamondara,2794
Llanarth (NSW),2795
Robin Hill,2795
South Bathurst,2795
Bathurst,2795
West Bathurst,2795
Mitchell (NSW),2795
Gormans Hill,2795
Abercrombie,2795
Eglinton (NSW),2795
Windradyne,2795
Raglan (NSW),2795
White Rock (NSW),2795
Kelso (NSW),2795
Fosters Valley,2795
Brewongle,2795
Trunkey Creek,2795
Perthville,2795
Wattle Flat (NSW),2795
Peel,2795
Rockley,2795
Georges Plains,2795
Hill End (NSW),2795
Billywillinga,2795
Mount Rankin,2795
Rock Forest,2795
Evans Plains,2795
